month,day,slp,maxtemp,avgtemp,mintemp,dewtemp,rh,cld,rf,sunhr,prewd,avgws
1,01,1023.7,19.0,17.1,15.5,11.7,71,29,  0.0,8.4, 040#, 20.6#
1,02,1021.4,20.6,18.1,15.8,13.7,76, 9,  0.0,9.6, 080#, 10.5#
1,03,1020.5,20.0,18.4,17.1,15.7,85,44,  0.0,7.3, 070#, 27.7#
1,04,1020.5,22.5,19.4,17.6,16.6,84,36,  0.0,6.5, 050#, 10.6#
1,05,1021.9,19.4,18.4,17.6,15.4,83,80,Trace,4.0, 090#, 39.0#
1,06,1020.6,20.2,18.7,17.3,16.4,86,83,  1.2,0.3,060,29.0
1,07,1020.9,21.6,20.1,18.9,17.5,85,83,  0.0,1.2, 060#, 18.8#
1,08,1021.8,20.3,19.3,18.5,17.0,86,88,Trace,0.3, 090#, 33.5#
1,09,1020.2,22.9,19.8,17.8,16.4,81,55,  0.0,8.3,080,13.0
1,10,1017.0,23.7,20.8,18.2,16.6,77,80,  0.0,5.6, 040#, 10.2#
1,11,1017.6,21.1,19.9,18.7,17.1,84,83,Trace,0.0,090,31.9
1,12,1018.0,20.6,19.1,17.8,16.0,83,87,  1.4,5.2,090,39.5
1,13,1016.3,20.4,19.2,18.0,17.0,87,92,Trace,0.0,080,27.5
1,14,1014.0,21.3,17.9,14.2,15.5,85,96,Trace,0.0,020,20.1
1,15,1018.6,15.1,10.4, 6.7, 7.7,84,97,  5.1,0.0,020,38.6
1,16,1024.0,11.3, 8.2, 5.4, 2.5,69,38,  7.3,7.4,020,41.0
1,17,1023.3, 9.4, 8.0, 7.1, 3.9,75,88,  0.1,0.0,030,28.8
1,18,1022.7, 8.4, 7.4, 6.2, 5.7,89,100,  5.1,0.0,020,27.4
1,19,1021.3,11.9, 9.7, 7.9, 5.8,77,99,  0.0,0.0,030,24.6
1,20,1020.6,12.7,11.5,10.3, 8.5,82,100,  0.0,0.0,030,29.0
1,21,1023.4,11.5,10.5, 9.1, 6.8,78,100,  0.0,0.0,030,32.3
