month,day,slp,maxtemp,avgtemp,mintemp,dewtemp,rh,cld,rf,sunhr,prewd,avgws
1,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4
1,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9
1,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4
1,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2
1,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8
1,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6
1,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9
1,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5
1,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4
1,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#
1,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7
1,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5
1,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5
1,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6
1,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9
1,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#
1,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8
1,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8
1,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1
1,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2
1,21,1022.0,14.5,12.7,10.2,10.2,85,98,  0.6,0.0,060,24.5
1,22,1021.0,15.4,14.0,12.0,11.6,85,100,  0.3,0.0, 010#, 24.1#
1,23,1023.8,13.2,11.4, 8.9, 7.7,78,91,  1.6,0.0,360,35.6
1,24,1022.2,15.5,13.5,11.4, 7.8,69,78,Trace,4.5,080,37.3
1,25,1022.9,17.2,14.8,12.3,10.4,75,71,  0.9,6.8,070,31.3
1,26,1023.6,18.3,15.9,14.4,11.9,77,82,Trace,3.1,080,31.4
1,27,1022.3,19.1,16.3,14.1,12.1,77,41,  0.0,9.6,080,23.1
1,28,1019.6,20.2,17.8,16.0,13.4,75,82,Trace,1.2,050,17.5
1,29,1018.9,20.0,18.0,16.5,17.0,94,97,  9.6,0.3, 020#, 19.4#
1,30,1018.3,17.5,16.8,16.1,15.8,94,98, 15.8,0.0, 070#, 32.1#
2,01,1016.1,17.4,16.1,14.6,14.5,90,98,  0.4,0.0,070,24.4
2,02,1019.0,17.4,15.9,14.5,13.4,85,93,  3.0,0.3,010,24.9
2,03,1022.0,17.2,15.8,14.7,12.0,78,84,  0.0,2.2,070,31.4
2,04,1022.4,16.8,15.9,15.3,11.1,74,83,  0.0,3.1,080,36.2
2,05,1021.4,18.2,16.9,15.6,12.6,76,83,  0.1,5.5,070,27.8
2,06,1022.5,19.4,17.7,16.3,14.2,80,86,Trace,3.4,080,21.6
2,07,1023.1,19.8,17.4,16.0,12.8,75,59,Trace,5.4,090,35.9
2,08,1020.1,19.4,17.6,16.5,14.4,82,46,  0.0,7.7,090,25.5
2,09,1017.6,21.3,18.6,16.5,15.8,84,32,  0.0,6.9,090,15.4
2,10,1016.8,22.1,18.6,16.5,15.5,83,24,  0.0,10.0, 080#, 13.6#
2,11,1019.1,19.1,17.8,16.7,14.4,81,59,Trace,5.2,080,31.7
2,12,1020.0,20.9,18.5,16.9,15.8,85,37,  0.0,7.5,070,15.5
2,13,1018.8,18.3,17.4,16.6,14.2,82,88,Trace,0.0,090,36.5
2,14,1016.0,17.8,17.0,16.2,14.0,82,88,Trace,0.3,080,34.6
2,15,1015.3,20.2,16.6,12.7,14.4,87,94,  3.3,0.2,360,24.9
2,16,1019.5,14.5,12.9,10.4, 7.5,70,82,Trace,2.1, 010#, 27.2#
2,17,1016.9,16.0,14.6,12.9,10.7,77,86,Trace,1.7,070,33.8
2,18,1014.4,18.0,16.7,15.2,14.7,88,87,  1.3,0.2,080,25.8
2,19,1018.5,18.0,15.9,13.5,14.6,92,99,  6.7,0.0,010,24.1
2,20,1023.2,13.9,12.1,10.9, 9.5,84,98,  0.3,0.0,010,32.2
